Cp(gas) K°
51.38 200
62.30 279
62.09 280
73.15 350.01
75.7 356.5
74.57 360.00
76.4 361.75
75.52 367.9
76.00 370.01
77.7 371.85
77.46 380.00
79.8 387.25
80.0 388.85
80.40 400.08
82.01 410.16
83.39 422
84.10 425.09
85.9 433.25
87.99 437
87.3 443.35
87.65 450.08
91.11 475.12
91.21 476
92.2 480.45
99.4 534.35
101.3 548.75
104.5 572.25
107.0 591.25
